"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Toledo","381.136","314.720","694.844",NA,NA,"22.392","18.908"
"Cobisa-45052","2.842","2.513","4.310","169","3","30.851","24.831"
"Olías del Rey-45122","4.944","4.322","7.880","180","4","30.645","24.674"
"Pepino-45132","1.650","1.421","3.055","208","5","30.185","24.208"
"Toledo-45168","53.491","47.668","84.873","260","7","29.225","23.753"
"Nambroca-45107","3.049","2.648","4.732","406","13","27.731","22.770"
"Bargas-45019","6.045","5.254","10.332","452","14","27.289","22.322"
"Ontígola-45123","3.271","2.802","4.387","635","23","25.745","21.453"
"Argés-45016","3.790","3.326","6.418","646","24","25.658","21.303"
"Burguillos de Toledo-45023","2.016","1.778","3.172","702","27","25.338","21.076"
"Illescas-45081","14.665","12.487","28.894","706","28","25.322","21.064"
"Carranque-45038","2.822","2.402","4.846","770","30","24.935","20.822"
"San Román de los Montes-45154","1.095","926","1.881","847","35","24.467","20.547"
"Seseña-45161","12.871","11.107","25.835","920","41","23.870","20.043"
"Ugena-45176","3.120","2.621","5.411","966","44","23.557","19.896"
"Villaluenga de la Sagra-45188","2.120","1.675","3.815","1.053","47","23.023","19.478"
"Ocaña-45121","5.617","4.649","11.597","1.098","49","22.755","19.249"
"Casarrubios del Monte-45041","3.329","2.810","5.681","1.115","50","22.628","19.089"
"Torrijos-45173","6.834","5.512","13.466","1.131","52","22.522","18.945"
"Esquivias-45064","3.113","2.508","5.549","1.132","53","22.515","19.079"
"Segurilla-45160","693","558","1.324","1.177","54","22.305","19.017"
"Ventas de Retamosa, Las-45183","1.867","1.553","3.365","1.185","55","22.245","18.916"
"Talavera de la Reina-45165","42.518","35.239","83.417","1.194","56","22.194","18.784"
"Noblejas-45115","1.992","1.604","3.585","1.220","59","22.101","18.831"
"Santa Cruz del Retamar-45157","1.592","1.283","3.079","1.256","62","21.930","18.659"
"Viso de San Juan, El-45199","2.503","2.155","4.416","1.261","63","21.911","18.645"
"Yeles-45201","2.634","2.195","5.329","1.269","64","21.879","18.647"
"Méntrida-45099","2.742","2.233","5.099","1.294","67","21.687","18.458"
"Villaseca de la Sagra-45196","920","732","1.820","1.304","68","21.649","18.453"
"Yébenes, Los-45200","3.187","2.452","5.901","1.361","70","21.399","18.191"
"Valmojado-45180","2.377","1.959","4.303","1.364","71","21.388","18.219"
"Magán-45088","1.729","1.426","3.544","1.397","74","21.230","18.178"
"Guadamur-45070","978","810","1.792","1.401","75","21.191","17.894"
"Cedillo del Condado-45047","1.915","1.569","3.762","1.462","78","20.844","17.873"
"Yuncler-45203","1.932","1.577","3.940","1.493","82","20.716","17.807"
"Tembleque-45166","1.141","882","1.986","1.512","85","20.623","17.770"
"Fuensalida-45066","5.404","4.381","11.370","1.513","86","20.618","17.602"
"Yuncos-45205","5.575","4.625","11.222","1.518","87","20.594","17.674"
"Villasequilla-45197","1.377","1.117","2.478","1.538","89","20.486","17.505"
"Numancia de la Sagra-45119","2.448","2.019","4.902","1.550","90","20.441","17.569"
"Mocejón-45102","2.563","2.020","4.875","1.564","91","20.387","17.483"
"Novés-45118","1.513","1.217","2.905","1.576","93","20.339","17.555"
"Pantoja-45128","1.795","1.373","3.317","1.580","94","20.317","17.464"
"Portillo de Toledo-45134","1.172","907","2.209","1.614","98","20.143","17.209"
"Camarena-45031","2.061","1.694","3.960","1.621","99","20.126","17.296"
"Borox-45021","1.978","1.613","3.825","1.644","100","19.992","17.147"
"Villarrubia de Santiago-45195","1.575","1.241","2.536","1.645","101","19.991","17.294"
"Mora-45106","5.681","4.502","9.718","1.680","104","19.828","17.063"
"Oropesa-45125","1.390","1.127","2.662","1.687","105","19.787","17.091"
"Cobeja-45051","1.195","929","2.255","1.692","106","19.771","17.148"
"Santo Domingo-Caudilla-45901","525","436","1.038","1.695","107","19.757","16.964"
"Polán-45133","2.089","1.686","3.848","1.702","108","19.727","17.041"
"Puebla de Montalbán, La-45136","4.232","3.401","7.861","1.708","109","19.707","16.907"
"Cabañas de la Sagra-45025","888","713","1.799","1.715","111","19.660","16.965"
"Torre de Esteban Hambrán, La-45171","964","762","1.637","1.722","112","19.613","17.006"
"Casar de Escalona, El-45040","723","586","1.725","1.730","113","19.591","16.952"
"Alameda de la Sagra-45002","1.941","1.439","3.623","1.752","116","19.498","16.931"
"Yepes-45202","2.877","2.294","5.198","1.761","118","19.465","16.908"
"Sonseca-45163","6.041","5.099","11.067","1.767","119","19.439","16.694"
"Quintanar de la Orden-45142","6.192","4.868","11.030","1.780","121","19.404","16.675"
"Consuegra-45053","5.836","4.555","9.998","1.796","123","19.344","16.639"
